ID,Category,Priority,Task,Completed,Auto-Filled,Notes,Source Devices,Scan Date
1,"Network Security",High,"Review firewall logs for suspicious activity",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Status: Inactive | Could not read UFW status (may need sudo) | Open Ports: 10 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Status: Connected via SNMP | Interfaces: 48 | CPU Load: N/A% | Open Ports: 0","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
2,"Network Security",High,"Check VPN connection logs and failed authentications",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Failed Logins: 2048 | desicrew pts/1        192.168.5.45     Tue Mar 10 15:36 - 19:45  (04:08) | desicrew pts/1        192.168.5.45     Fri Feb 27 12:25 - 17:52  (05:26) | algomox  pts/1        103.192.65.59    Thu Feb 26 19:49 - 20:12  (00:22) | desicrew pts/3        192.168.5.45     Tue Feb 24 10:24 - 15:37  (05:12) | desicrew pts/1        192.168.5.45     Tue Feb 24 10:13 - 14:47  (04:34) | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Failed Logins: 0 | Not available via SNMP","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
3,"Network Security",Medium,"Verify IDS/IPS alerts and update signature rules",No,No,"","","16/3/2026, 5:00:01 pm"
4,"Network Security",Low,"Review bandwidth usage for anomalies",No,Yes,"","","16/3/2026, 5:00:01 pm"
5,"Network Security",Medium,"Test network segmentation effectiveness",No,No,"","","16/3/2026, 5:00:01 pm"
6,"Network Security",High,"Verify SNMP community strings are not default (public)",No,No,"","","16/3/2026, 5:00:01 pm"
7,"Network Security",High,"Check interface errors and link status on switches",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Vendor: Unknown | Interfaces: 48","TNP Firewall","16/3/2026, 5:00:01 pm"
8,"Network Security",Medium,"Review DHCP lease table for rogue devices",No,No,"","","16/3/2026, 5:00:01 pm"
9,"Server & Endpoint",High,"Review authentication & login event logs",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Failed Logins: 2048 | desicrew pts/1        192.168.5.45     Tue Mar 10 15:36 - 19:45  (04:08) | desicrew pts/1        192.168.5.45     Fri Feb 27 12:25 - 17:52  (05:26) | algomox  pts/1        103.192.65.59    Thu Feb 26 19:49 - 20:12  (00:22) | desicrew pts/3        192.168.5.45     Tue Feb 24 10:24 - 15:37  (05:12) | desicrew pts/1        192.168.5.45     Tue Feb 24 10:13 - 14:47  (04:34) | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Failed Logins: 0 | Not available via SNMP","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
10,"Server & Endpoint",High,"Verify antivirus/EDR updates and detections",No,No,"","","16/3/2026, 5:00:01 pm"
11,"Server & Endpoint",High,"Check server patch compliance",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Updates Available — 16 updates pending | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Manual verification required — 0 updates pending","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
12,"Server & Endpoint",Medium,"Review unauthorized software installations",No,No,"","","16/3/2026, 5:00:01 pm"
13,"Server & Endpoint",Medium,"Audit running services and open ports",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Status: Inactive | Could not read UFW status (may need sudo) | Open Ports: 10 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Status: Connected via SNMP | Interfaces: 48 | CPU Load: N/A% | Open Ports: 0","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
14,"Server & Endpoint",Low,"Monitor server resource utilization (CPU/RAM/Disk)",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Disk: 10% | RAM: 699/7813 MB | CPU: 2.15, 1.76, 1.63 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Disk: N/A% | RAM: N/A/0 MB | CPU: N/A","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
15,"Server & Endpoint",High,"Check for failed or stopped critical services",No,No,"","","16/3/2026, 5:00:01 pm"
16,"Server & Endpoint",Medium,"Verify OS version and kernel/build currency",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Kernel: 6.8.0-90-generic","syslog server","16/3/2026, 5:00:01 pm"
17,"Patch Management",High,"Check package manager for available security updates",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Updates Available — 16 updates pending | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Manual verification required — 0 updates pending","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
18,"Patch Management",High,"Review patch deployment status across all devices",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Updates Available — 16 updates pending | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Manual verification required — 0 updates pending","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
19,"Patch Management",High,"Identify failed patch installations",No,No,"","","16/3/2026, 5:00:01 pm"
20,"Patch Management",Medium,"Verify patch compliance percentage (95%+ target)",No,No,"","","16/3/2026, 5:00:01 pm"
21,"Patch Management",High,"Check devices missing critical updates (30+ days)",No,No,"","","16/3/2026, 5:00:01 pm"
22,"Patch Management",Medium,"Review firmware version on network devices",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Kernel: 6.8.0-90-generic","syslog server","16/3/2026, 5:00:01 pm"
23,"Patch Management",Low,"Schedule maintenance windows for patch deployments",No,No,"","","16/3/2026, 5:00:01 pm"
24,"Access Management",High,"Review privileged account access logs",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Failed Logins: 2048 | desicrew pts/1        192.168.5.45     Tue Mar 10 15:36 - 19:45  (04:08) | desicrew pts/1        192.168.5.45     Fri Feb 27 12:25 - 17:52  (05:26) | algomox  pts/1        103.192.65.59    Thu Feb 26 19:49 - 20:12  (00:22) | desicrew pts/3        192.168.5.45     Tue Feb 24 10:24 - 15:37  (05:12) | desicrew pts/1        192.168.5.45     Tue Feb 24 10:13 - 14:47  (04:34) | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Failed Logins: 0 | Not available via SNMP","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
25,"Access Management",High,"Audit new user accounts and permission changes",No,No,"","","16/3/2026, 5:00:01 pm"
26,"Access Management",Medium,"Check for dormant accounts (90+ days inactive)",No,No,"","","16/3/2026, 5:00:01 pm"
27,"Access Management",High,"Review failed login attempts and account lockouts",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Failed Logins: 2048 | desicrew pts/1        192.168.5.45     Tue Mar 10 15:36 - 19:45  (04:08) | desicrew pts/1        192.168.5.45     Fri Feb 27 12:25 - 17:52  (05:26) | algomox  pts/1        103.192.65.59    Thu Feb 26 19:49 - 20:12  (00:22) | desicrew pts/3        192.168.5.45     Tue Feb 24 10:24 - 15:37  (05:12) | desicrew pts/1        192.168.5.45     Tue Feb 24 10:13 - 14:47  (04:34) | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Failed Logins: 0 | Not available via SNMP","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
28,"Access Management",High,"Verify MFA enforcement for all admin accounts",No,No,"","","16/3/2026, 5:00:01 pm"
29,"Access Management",Medium,"Audit shared and service account usage",No,No,"","","16/3/2026, 5:00:01 pm"
30,"Firewall & Perimeter",High,"Review and audit firewall rule set / ACLs",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Status: Inactive | Could not read UFW status (may need sudo) | Open Ports: 10 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Status: Connected via SNMP | Interfaces: 48 | CPU Load: N/A% | Open Ports: 0","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
31,"Firewall & Perimeter",High,"Verify firewall firmware is up to date",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Kernel: 6.8.0-90-generic","syslog server","16/3/2026, 5:00:01 pm"
32,"Firewall & Perimeter",High,"Check firewall HA / failover status",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Status: Inactive | Could not read UFW status (may need sudo) | Open Ports: 10 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Status: Connected via SNMP | Interfaces: 48 | CPU Load: N/A% | Open Ports: 0","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
33,"Firewall & Perimeter",Medium,"Review inbound/outbound allow rules for overpermission",No,No,"","","16/3/2026, 5:00:01 pm"
34,"Firewall & Perimeter",High,"Confirm management access is not exposed to internet",No,No,"","","16/3/2026, 5:00:01 pm"
35,"Firewall & Perimeter",Low,"Archive firewall config backup this week",No,No,"","","16/3/2026, 5:00:01 pm"
36,"ISP & WAN",High,"Verify primary ISP link is up and stable",No,Yes,"","","16/3/2026, 5:00:01 pm"
37,"ISP & WAN",High,"Check WAN failover / secondary ISP link status",No,Yes,"","","16/3/2026, 5:00:01 pm"
38,"ISP & WAN",Medium,"Monitor WAN latency and packet loss trends",No,Yes,"","","16/3/2026, 5:00:01 pm"
39,"ISP & WAN",Low,"Review ISP SLA compliance report for the week",No,No,"","","16/3/2026, 5:00:01 pm"
40,"Vulnerability Mgmt",High,"Run full vulnerability scan (Nessus/Qualys/OpenVAS)",No,No,"","","16/3/2026, 5:00:01 pm"
41,"Vulnerability Mgmt",High,"Review and prioritize critical/high CVEs",No,No,"","","16/3/2026, 5:00:01 pm"
42,"Vulnerability Mgmt",Medium,"Track remediation status of open findings",No,No,"","","16/3/2026, 5:00:01 pm"
43,"Vulnerability Mgmt",High,"Check SSL/TLS certificate expiry (30-day warning)",No,No,"","","16/3/2026, 5:00:01 pm"
44,"Vulnerability Mgmt",Medium,"Scan web apps for OWASP Top 10",No,No,"","","16/3/2026, 5:00:01 pm"
45,"Vulnerability Mgmt",Medium,"Review third-party software for known CVEs",No,No,"","","16/3/2026, 5:00:01 pm"
46,"Backup & Recovery",High,"Verify all scheduled backups completed (100%)",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Requires manual check | Last: N/A | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Manual verification required | Last: N/A","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
47,"Backup & Recovery",High,"Perform random backup restoration test",No,No,"","","16/3/2026, 5:00:01 pm"
48,"Backup & Recovery",Medium,"Check backup storage capacity and retention policy",Yes,Yes,"[Auto-filled 16/3/2026, 4:59:34 pm | syslog server — Linux Server] Disk: 10% | RAM: 699/7813 MB | CPU: 2.15, 1.76, 1.63 | [Auto-filled 16/3/2026, 4:59:34 pm | TNP Firewall — Network Device (SNMP) — Unknown] Disk: N/A% | RAM: N/A/0 MB | CPU: N/A","syslog server, TNP Firewall","16/3/2026, 5:00:01 pm"
49,"Backup & Recovery",High,"Review offsite/cloud backup synchronization",No,No,"","","16/3/2026, 5:00:01 pm"
50,"Backup & Recovery",Low,"Test disaster recovery runbook and RTO/RPO targets",No,No,"","","16/3/2026, 5:00:01 pm"
51,"Compliance",High,"Review SIEM alerts and security incidents",No,No,"","","16/3/2026, 5:00:01 pm"
52,"Compliance",Medium,"Check compliance dashboard (GDPR/ISO 27001/SOC2)",No,No,"","","16/3/2026, 5:00:01 pm"
53,"Compliance",Medium,"Review data access audit trails and FIM alerts",No,No,"","","16/3/2026, 5:00:01 pm"
54,"Compliance",High,"Audit privileged access to sensitive data systems",No,No,"","","16/3/2026, 5:00:01 pm"
55,"Compliance",Low,"Update security documentation and SOPs",No,No,"","","16/3/2026, 5:00:01 pm"
56,"Compliance",Medium,"Generate and review weekly security metrics report",No,No,"","","16/3/2026, 5:00:01 pm"
57,"Compliance",Low,"Review security awareness training completion metrics",No,No,"","","16/3/2026, 5:00:01 pm"